record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document
4090177,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9988,2025-08-28,9,2025,8,28,S,,,PV.9988,,S_2025_PV.9988_,S_2025_PV.9988_speeches.pdf,4089910.0,S/PV.9988,English,https://digitallibrary.un.org/record/4089910/files/S_PV.9988-EN.pdf,2025-08-28
4087505,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9962,2025-07-22,9,2025,7,22,S,,,PV.9962,,S_2025_PV.9962_,S_2025_PV.9962_speeches.pdf,4086244.0,S/PV.9962,English,https://digitallibrary.un.org/record/4086244/files/S_PV.9962-EN.pdf,2025-07-22
4085871,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9941,2025-06-22,9,2025,6,22,S,,,PV.9941,,S_2025_PV.9941_,S_2025_PV.9941_speeches.pdf,4085074.0,S/PV.9941,English,https://digitallibrary.un.org/record/4085074/files/S_PV.9941-EN.pdf,2025-06-22
4084965,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9939,2025-06-20,9,2025,6,20,S,,,PV.9939,,S_2025_PV.9939_,S_2025_PV.9939_speeches.pdf,4084933.0,S/PV.9939,English,https://digitallibrary.un.org/record/4084933/files/S_PV.9939-EN.pdf,2025-06-20
4084667,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9938,2025-06-19,9,2025,6,19,S,,,PV.9938,,S_2025_PV.9938_,S_2025_PV.9938_speeches.pdf,4084657.0,S/PV.9938,English,https://digitallibrary.un.org/record/4084657/files/S_PV.9938-EN.pdf,2025-06-19
4084179,"Guterres, António, 1949-",UN. Secretary-General,A/79/PV.72,2025-06-02,9,2025,6,2,A,,79.0,PV.72,,A_2025_79_PV.72_,A_2025_79_PV.72_speeches.pdf,4084153.0,A/79/PV.72,English,https://digitallibrary.un.org/record/4084153/files/A_79_PV.72-EN.pdf,2025-06-02
4083168,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9919,2025-05-20,9,2025,5,20,S,,,PV.9919,,S_2025_PV.9919_,S_2025_PV.9919_speeches.pdf,4083197.0,S/PV.9919,English,https://digitallibrary.un.org/record/4083197/files/S_PV.9919-EN.pdf,2025-05-20
4082198,"Guterres, António, 1949-",UN. Secretary-General,A/79/PV.67,2025-04-29,9,2025,4,29,A,,79.0,PV.67,,A_2025_79_PV.67_,A_2025_79_PV.67_speeches.pdf,4082015.0,A/79/PV.67,English,https://digitallibrary.un.org/record/4082015/files/A_79_PV.67-EN.pdf,2025-04-29
4081594,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9907,2025-04-29,9,2025,4,29,S,,,PV.9907,,S_2025_PV.9907_,S_2025_PV.9907_speeches.pdf,4081571.0,S/PV.9907,English,https://digitallibrary.un.org/record/4081571/files/S_PV.9907-EN.pdf,2025-04-29
4079662,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9884,2025-03-24,9,2025,3,24,S,,,PV.9884,,S_2025_PV.9884_,S_2025_PV.9884_speeches.pdf,4079464.0,S/PV.9884,English,https://digitallibrary.un.org/record/4079464/files/S_PV.9884-EN.pdf,2025-03-24
4078010,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9861,2025-02-18,9,2025,2,18,S,,,PV.9861,,S_2025_PV.9861_,S_2025_PV.9861_speeches.pdf,4077112.0,S/PV.9861,English,https://digitallibrary.un.org/record/4077112/files/S_PV.9861-EN.pdf,2025-02-18
4073927,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9841,2025-01-20,9,2025,1,20,S,,,PV.9841,,S_2025_PV.9841_,S_2025_PV.9841_speeches.pdf,4073239.0,S/PV.9841,English,https://digitallibrary.un.org/record/4073239/files/S_PV.9841-EN.pdf,2025-01-20
4070941,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9821,2024-12-19,9,2024,12,19,S,,,PV.9821,,S_2024_PV.9821_,S_2024_PV.9821_speeches.pdf,4070651.0,S/PV.9821,English,https://digitallibrary.un.org/record/4070651/files/S_PV.9821-EN.pdf,2024-12-19
4066697,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9761,2024-10-28,9,2024,10,28,S,,,PV.9761,,S_2024_PV.9761_,S_2024_PV.9761_speeches.pdf,4065519.0,S/PV.9761,English,https://digitallibrary.un.org/record/4065519/files/S_PV.9761-EN.pdf,2024-10-28
