record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,lang_field,doc_url,date_document,text_based,speech_index,multiple_matches,tokens,types,sentences,file_name
363235,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/49/PV.28,1994-10-12,6,1994,10,12,A,,49.0,PV.28,,English,https://digitallibrary.un.org/record/169004/files/A_49_PV.28-EN.pdf,1994-10-12,True,0,False,1355,433,71,A_1994_49_PV.28_speech.txt
365914,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/C.1/49/PV.3,1994-10-17,6,1994,10,17,A,C.1,49.0,PV.3,,English,https://digitallibrary.un.org/record/170075/files/A_C.1_49_PV.3-EN.pdf,1994-10-17,True,0,False,2372,684,121,A_1994_C.1_49_PV.3_speech.txt
363570,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/49/PV.35,1994-10-18,6,1994,10,18,A,,49.0,PV.35,,English,https://digitallibrary.un.org/record/168316/files/A_49_PV.35-EN.pdf,1994-10-18,True,0,False,1375,437,78,A_1994_49_PV.35_speech.txt
363536,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/49/PV.39,1994-10-20,6,1994,10,20,A,,49.0,PV.39,,English,https://digitallibrary.un.org/record/168312/files/A_49_PV.39-EN.pdf,1994-10-20,True,0,False,1300,475,71,A_1994_49_PV.39_speech.txt
368891,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/C.1/49/PV.19,1994-11-14,6,1994,11,14,A,C.1,49.0,PV.19,,English,https://digitallibrary.un.org/record/177183/files/A_C.1_49_PV.19-EN.pdf,1994-11-14,True,0,False,339,146,6,A_1994_C.1_49_PV.19_speech.txt
370142,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/50/PV.1,1995-09-19,6,1995,9,19,A,,50.0,PV.1,,English,https://digitallibrary.un.org/record/189098/files/A_50_PV.1-EN.pdf,1995-09-19,True,0,False,659,283,38,A_1995_50_PV.1_speech.txt
370201,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/50/PV.20,1995-10-05,6,1995,10,5,A,,50.0,PV.20,,English,https://digitallibrary.un.org/record/200007/files/A_50_PV.20-EN.pdf,1995-10-05,True,0,False,413,192,26,A_1995_50_PV.20_speech.txt
370424,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/50/PV.35,1995-10-22,6,1995,10,22,A,,50.0,PV.35,,English,https://digitallibrary.un.org/record/189787/files/A_50_PV.35-EN.pdf,1995-10-22,True,0,False,625,249,38,A_1995_50_PV.35_speech.txt
375830,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/50/PV.40,1995-10-24,6,1995,10,24,A,,50.0,PV.40,,English,https://digitallibrary.un.org/record/190617/files/A_50_PV.40-EN.pdf,1995-10-24,True,0,False,638,261,29,A_1995_50_PV.40_speech.txt
375960,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/50/PV.105,1996-04-15,6,1996,4,15,A,,50.0,PV.105,,English,https://digitallibrary.un.org/record/212117/files/A_50_PV.105-EN.pdf,1996-04-15,True,0,False,1218,445,55,A_1996_50_PV.105_speech.txt
386870,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/C.1/51/PV.3,1996-10-14,6,1996,10,14,A,C.1,51.0,PV.3,,English,https://digitallibrary.un.org/record/242413/files/A_C.1_51_PV.3-EN.pdf,1996-10-14,True,0,False,2047,678,79,A_1996_C.1_51_PV.3_speech.txt
378002,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/51/PV.33,1996-10-14,6,1996,10,14,A,,51.0,PV.33,,English,https://digitallibrary.un.org/record/228907/files/A_51_PV.33-EN.pdf,1996-10-14,True,0,False,1440,553,60,A_1996_51_PV.33_speech.txt
378502,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/51/PV.59,1996-11-19,6,1996,11,19,A,,51.0,PV.59,,English,http://digitallibrary.un.org/record/229976/files/A_51_PV-59-EN.pdf,1996-11-19,True,0,False,480,197,23,A_1996_51_PV.59_speech.txt
378573,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/51/PV.61,1996-11-20,6,1996,11,20,A,,51.0,PV.61,,English,https://digitallibrary.un.org/record/230042/files/A_51_PV.61-EN.pdf,1996-11-20,True,0,False,709,301,23,A_1996_51_PV.61_speech.txt
379856,"Boutros-Ghali, Boutros, 1922-2016",UN. Secretary-General,A/51/PV.75,1996-12-06,6,1996,12,6,A,,51.0,PV.75,,English,https://digitallibrary.un.org/record/230651/files/A_51_PV.75-EN.pdf,1996-12-06,True,0,False,1057,375,52,A_1996_51_PV.75_speech.txt
