record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document,text_based,two_column_layout,left_column_french,starting_page
380162,"Lie, Trygve, 1896-1968",UN. Secretary-General,A/PV.289,1950-09-28,1,1950,9,28,A,,,PV.289,,A_1950_PV.289_,A_1950_PV.289_speeches.pdf,646684.0,A/PV.289,English,https://digitallibrary.un.org/record/646684/files/A_PV-289-EN.pdf,1950-09-28,False,True,,1
380215,"Lie, Trygve, 1896-1968",UN. Secretary-General,A/PV.348,1951-11-16,1,1951,11,16,A,,,PV.348,,A_1951_PV.348_,A_1951_PV.348_speeches.pdf,735242.0,A/PV.348,English,http://digitallibrary.un.org/record/735242/files/A_PV-348-EN.pdf,1951-11-16,False,True,,1
4089214,"Hammarskjöld, Dag, 1905-1961",UN. Secretary-General,A/PV.690,1957-09-26,2,1957,9,26,A,,,PV.690,,A_1957_PV.690_,A_1957_PV.690_speeches.pdf,698477.0,A/PV.690,English,http://digitallibrary.un.org/record/698477/files/A_PV-690-EN.pdf,1957-09-26,False,True,,1
4086528,"Hammarskjöld, Dag, 1905-1961",UN. Secretary-General,A/PV.871,1960-09-26,2,1960,9,26,A,,,PV.871,,A_1960_PV.871_,A_1960_PV.871_speeches.pdf,709690.0,A/PV.871,English,https://digitallibrary.un.org/record/709690/files/A_PV-871-EN.pdf,1960-09-26,False,True,,1
381101,"Hammarskjöld, Dag, 1905-1961",UN. Secretary-General,A/PV.883,1960-10-03,2,1960,10,3,A,,,PV.883,,A_1960_PV.883_,A_1960_PV.883_speeches.pdf,698629.0,A/PV.883,English,https://digitallibrary.un.org/record/698629/files/A_PV-883-EN.pdf,1960-10-03,False,True,,1
4089866,"Hammarskjöld, Dag, 1905-1961",UN. Secretary-General,A/PV.904,1960-10-13,2,1960,10,13,A,,,PV.904,,A_1960_PV.904_,A_1960_PV.904_speeches.pdf,740881.0,A/PV.904,English,https://digitallibrary.un.org/record/740881/files/A_PV-904-EN.pdf,1960-10-13,False,True,,1
4086590,"Hammarskjöld, Dag, 1905-1961",UN. Secretary-General,A/PV.906,1960-10-17,2,1960,10,17,A,,,PV.906,,A_1960_PV.906_,A_1960_PV.906_speeches.pdf,709691.0,A/PV.906,English,http://digitallibrary.un.org/record/709691/files/A_PV-906-EN.pdf,1960-10-17,False,True,,1
4085900,"Waldheim, Kurt, 1918-2007",UN. Secretary-General,A/34/PV.17,1979-10-02,4,1979,10,2,A,,34.0,PV.17,,A_1979_34_PV.17_,A_1979_34_PV.17_speeches.pdf,5260.0,A/34/PV.17,English,https://digitallibrary.un.org/record/5260/files/A_34_PV.17-EN.pdf,1979-10-02,False,True,,1
295135,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/38/PV.81,1983-02-01,5,1983,2,1,A,,38.0,PV.81,,A_1983_38_PV.81_,A_1983_38_PV.81_speeches.pdf,59452.0,A/38/PV.81,English,https://digitallibrary.un.org/record/59452/files/A_38_PV.81-EN.pdf,1983-12-02,False,True,,1
288722,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/C.1/38/PV.11,1983-10-24,5,1983,10,24,A,C.1,38.0,PV.11,,A_1983_C.1_38_PV.11_,A_1983_C.1_38_PV.11_speeches.pdf,57551.0,A/C.1/38/PV.11,English,http://digitallibrary.un.org/record/57551/files/A_C-1_38_PV-11-EN.pdf,1983-10-24,False,False,,2
