record_id,speaker,speaker_organization,document_symbol,document_symbol_searchable,date,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf
4090177,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9988,S/PV.9988,2025-08-28,2025,8,28,S,,,PV.9988,,S_2025_PV.9988_,S_2025_PV.9988_speeches.pdf
4087505,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9962,S/PV.9962,2025-07-22,2025,7,22,S,,,PV.9962,,S_2025_PV.9962_,S_2025_PV.9962_speeches.pdf
4085871,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9941,SPV9941,2025-06-22,2025,6,22,S,,,PV.9941,,S_2025_PV.9941_,S_2025_PV.9941_speeches.pdf
4084965,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9939,SPV9939,2025-06-20,2025,6,20,S,,,PV.9939,,S_2025_PV.9939_,S_2025_PV.9939_speeches.pdf
4084667,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9938,SPV9938,2025-06-19,2025,6,19,S,,,PV.9938,,S_2025_PV.9938_,S_2025_PV.9938_speeches.pdf
4084179,"Guterres, António, 1949-",UN. Secretary-General,A/79/PV.72,A/79/PV.72,2025-06-02,2025,6,2,A,,79,PV.72,,A_2025_79_PV.72_,A_2025_79_PV.72_speeches.pdf
4083168,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9919,SPV9919,2025-05-20,2025,5,20,S,,,PV.9919,,S_2025_PV.9919_,S_2025_PV.9919_speeches.pdf
4082198,"Guterres, António, 1949-",UN. Secretary-General,A/79/PV.67,A/79/PV.67,2025-04-29,2025,4,29,A,,79,PV.67,,A_2025_79_PV.67_,A_2025_79_PV.67_speeches.pdf
4081594,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9907,SPV9907,2025-04-29,2025,4,29,S,,,PV.9907,,S_2025_PV.9907_,S_2025_PV.9907_speeches.pdf
4079662,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9884,SPV9884,2025-03-24,2025,3,24,S,,,PV.9884,,S_2025_PV.9884_,S_2025_PV.9884_speeches.pdf
4078010,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9861,SPV9861,2025-02-18,2025,2,18,S,,,PV.9861,,S_2025_PV.9861_,S_2025_PV.9861_speeches.pdf
4073927,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9841,SPV9841,2025-01-20,2025,1,20,S,,,PV.9841,,S_2025_PV.9841_,S_2025_PV.9841_speeches.pdf
4070941,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9821,SPV9821,2024-12-19,2024,12,19,S,,,PV.9821,,S_2024_PV.9821_,S_2024_PV.9821_speeches.pdf
4066697,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9761,SPV9761,2024-10-28,2024,10,28,S,,,PV.9761,,S_2024_PV.9761_,S_2024_PV.9761_speeches.pdf
4076443,"Guterres, António, 1949-",UN. Secretary-General,A/C.5/79/SR.5,A/C.5/79/SR.5,2024-10-16,2024,10,16,A,C.5,79,SR.5,,A_2024_C.5_79_SR.5_,A_2024_C.5_79_SR.5_speeches.pdf
4065643,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9738,SPV9738,2024-10-02,2024,10,2,S,,,PV.9738,,S_2024_PV.9738_,S_2024_PV.9738_speeches.pdf
